"","SSP.min.corToCMS1","SSP.min.corToCMS2","SSP.min.corToCMS3","SSP.min.corToCMS4","SSP.median.corToCMS1","SSP.median.corToCMS2","SSP.median.corToCMS3","SSP.median.corToCMS4","SSP.max.corToCMS1","SSP.max.corToCMS2","SSP.max.corToCMS3","SSP.max.corToCMS4","SSP.nearestCMS","SSP.predictedCMS"
"GSM358351.CEL.gz",-0.0891214244943824,0.0227935713751632,-0.300236667598074,0.137667991539194,-0.0101636561465198,0.0359892665830091,-0.254899724759388,0.153103268946466,-0.000584282876107016,0.0691717883951163,-0.229719753174276,0.173257876983474,"CMS4","CMS4"
"GSM358352.CEL.gz",-0.0645733999186603,0.0413295152936993,0.164768865098535,-0.207339200344277,-0.025835382816434,0.0500622387795756,0.223464380439723,-0.186440635581869,0.0154343785904214,0.0563741107752786,0.237111354446795,-0.156231002263379,"CMS3","CMS3"
"GSM358353.CEL.gz",0.056818183129308,0.0202150860687654,-0.0588222625846553,-0.242952414332126,0.0915836050216762,0.0756825844510945,0.00337302205794485,-0.190016237510749,0.107627696006074,0.100510462791868,0.0812404835572626,-0.169140304558619,"CMS1",NA
"GSM358354.CEL.gz",0.172640549480194,-0.158806841508344,0.279956269912951,-0.394622777829934,0.236213309737207,-0.135008014563931,0.378788133118775,-0.325266044218222,0.273539118128034,-0.0691783834062408,0.437440407130046,-0.278595926688715,"CMS3","CMS3"
"GSM358355.CEL.gz",0.121530323976919,-0.059608835913425,0.113788927504931,-0.378380121119718,0.180082693160723,-0.010424618850409,0.221822405589618,-0.303183262587668,0.231114540201076,0.0275659428672167,0.28577586175607,-0.278985848231584,"CMS1",NA
"GSM358356.CEL.gz",-0.24654662808944,0.357598348436286,0.0144604974896737,-0.408057109133073,-0.196304760846167,0.418813347089455,0.0455840839602249,-0.395380363594413,-0.120700295868481,0.442748483402937,0.0996905437273223,-0.332294355810225,"CMS2","CMS2"
"GSM358357.CEL.gz",0.0159438814927264,-0.0243902118520729,0.392813440459187,-0.455773483717808,0.088161461325234,-0.00410836240973364,0.475546857347352,-0.395962947097048,0.131702268418239,0.0550955109372411,0.514760892608455,-0.357331846505865,"CMS3","CMS3"
"GSM358358.CEL.gz",-0.0215072565312161,0.103145440734174,-0.0738963141913198,-0.172225570824739,-0.0193426074013429,0.112313247689407,-0.0337225635868845,-0.140943247298438,0.0619483780896839,0.137878777365676,0.00969463470031729,-0.131339587628418,"CMS2",NA
"GSM358359.CEL.gz",-0.0487306516237219,-0.07001831400364,-0.401595796838099,0.289941002603418,0.0235193297530356,-0.0490963624659343,-0.393674026420789,0.292679103407686,0.082427915809078,-0.00633804897903785,-0.38235986765577,0.32275531440412,"CMS4","CMS4"
"GSM358360.CEL.gz",0.223579527946516,-0.165405912241437,0.0736315773028878,-0.301961509898286,0.268940469134712,-0.103825102078777,0.169179044363016,-0.23554566297978,0.283402555532312,-0.0435310788866999,0.232590327803168,-0.209966930891455,"CMS1","CMS1"
"GSM358361.CEL.gz",0.134003591766023,-0.106075314194866,0.389234089973586,-0.520218659020094,0.189097652974183,-0.0727925201993655,0.474562946299479,-0.430437811540233,0.260704558227368,0.0128995269571541,0.536704610210513,-0.403707573775753,"CMS3","CMS3"
"GSM358362.CEL.gz",0.234505846054671,-0.147633440533843,0.160673111566795,-0.396259761678149,0.291415517717351,-0.106957861563726,0.235177767821825,-0.310468253946413,0.320379247290696,-0.0293573856231679,0.308396004687723,-0.280029877442579,"CMS1","CMS1"
"GSM358363.CEL.gz",-0.209433299099681,0.300737635521846,-0.0681643374243098,-0.263766220259067,-0.179183428416313,0.319250247388131,-0.0228779672801471,-0.256527054287548,-0.111008920905551,0.340824366685899,0.0333453297373955,-0.210042206962572,"CMS2","CMS2"
"GSM358364.CEL.gz",-0.0351196934882794,-0.189380843255986,-0.341698392698163,0.337609892246374,0.0329889033496328,-0.150329738756311,-0.278329255761189,0.350178383956568,0.0951161916103723,-0.115027201603528,-0.232204083075911,0.391073555911348,"CMS4","CMS4"
"GSM358365.CEL.gz",-0.161024471507608,0.0975236867441824,-0.158631181171665,-0.01252908060098,-0.122284635982356,0.167813233561529,-0.105534907013623,-0.00320834799171758,-0.0761801331900053,0.1766193757816,-0.103132271996395,0.0127467502992406,"CMS2","CMS2"
"GSM358366.CEL.gz",0.0915920541473005,-0.0951132930505936,0.255815558624099,-0.298462314797309,0.123317026996757,-0.0904621286595613,0.330707388381808,-0.22538574968711,0.166347404627652,-0.0570506251900331,0.36820527550649,-0.202790830714338,"CMS3","CMS3"
